NSE,KGE,RMSE,R2,lake
-0.24605579043929726,-0.2726015905582817,4.044290762602519,-0.2460559137908036,eagle
0.718612626911173,0.6044528986383932,3.3778720298402187,0.7186126567041958,rimov
0.7760289094231333,0.6996628176590061,3.1023690891160967,0.7760289040723839,scharmutzelsee
0.6241905051805098,0.5324616242090021,4.31250066472566,0.6241905219577377,sparkling
0.83884238037964,0.7388594164449815,2.345417931391865,0.8388423844370309,stechlin
0.8241968900680824,0.6618038425646449,2.571301823232801,0.8241969051544599,tahoe
0.7916624871430747,0.555691719739801,3.2590194297086432,0.7916624827180427,nohipalovalgejaerv
0.12331538239540085,0.054385059312079265,4.015430363356617,0.123315415158053,mozhaysk
0.5722310717894372,0.5198887276786945,4.1225738021477785,0.5722311285434634,mueggelsee
0.8085297919915094,0.6546592572402892,3.2569309640432897,0.8085297829849475,harp
0.9047403351283304,0.8048264799623214,2.369623737795547,0.904740332563438,mendota
0.8541290660990829,0.7774011997421063,2.126786931946651,0.8541290665352523,paaijarvi
0.8830311955083897,0.7781270656887408,2.6769211740807095,0.8830311878732378,delavan
0.3026704605233782,0.05561379781338083,5.200367677102735,0.30267047410115655,murten
0.8846577399327782,0.7998001861718289,2.6301403033667725,0.8846577372581536,okauchee
-39401.809279806905,-39402.24876561746,1120.4821190415826,-39401.809830689905,alqueva
0.848698147342158,0.7857803230768458,2.3749735243954793,0.8486981359015205,arendsee
-0.7592839327421388,-0.776550474505231,4.6364863889928225,-0.759283940097893,argyle
0.6453648239089858,0.5543939581959093,3.1694761361432096,0.6453648204260707,sammamish
0.7816226514789303,0.7025718185653844,2.6498493232795393,0.7816226629576225,sau
0.5850743214921827,0.512384713099187,4.208971544374463,0.5850742974058705,sunapee
0.5915155732913377,0.3500019140958244,4.867946778435073,0.5915155831449721,troutbog
0.5283876556641217,0.14328517835745547,3.2955442166048914,0.528387699872365,ngoring
0.47877140038634713,0.4457762086043623,4.002932120189,0.4787714098950848,troutlake
0.7629621039199135,0.7056143753023383,2.5019859907565367,0.7629621017904743,dickie
0.4517390732246772,0.34577379173028655,3.533095331719646,0.451739104340649,tarawera
0.28264040930021606,0.13483129996382048,2.313301375151695,0.28264039254395323,toolik
0.7760813173023666,0.679130402176811,3.548846746706486,0.7760813197011532,wingra
0.6520477145019739,0.4585318413968599,3.594803183377196,0.6520477339616648,zlutice
0.4478001715085369,0.26929931772130544,4.201930943484856,0.44780018623514717,zurich
0.8033823354484011,0.6629263223629234,3.0794306918347902,0.8033823389633681,bigmuskellunge
0.70226122029188,0.6254054717744557,3.036075487725365,0.7022612071136116,blackoak
0.4391321616111088,0.36442981448447354,4.11150826936073,0.43913215876393596,burleygriffin
0.7995486939548817,0.6819158605069654,3.4493704917591748,0.7995486833265151,crystalbog
0.6906471814137655,0.6654632320685758,3.6823504147982407,0.6906471753746092,crystallake
0.7529813928729091,0.6870650234512827,2.6133308634254115,0.7529813851617578,esthwaitewater
0.4591911376920379,0.3668127961436862,4.864193242675043,0.45919115491562734,vortsjaerv
0.6343322590510375,0.5920110437694359,2.8417460440504394,0.6343322411990223,twosisters
0.8684638282012672,0.7230270738735793,2.484823233142765,0.8684638319492983,erken
0.8771933386156394,0.7414014924322407,2.325221018616516,0.8771933487704449,ekoln
0.8361450337654932,0.5878914510586508,2.339233467647958,0.8361450358588773,langtjern
0.8952837846716436,0.7152054859622874,1.0968502866193117,0.89528379056997,laramie
0.8448917542580908,0.7442237240212197,2.9494917268437884,0.8448917512747062,monona
0.8428838686305306,0.7340364520749798,2.1801246874637363,0.8428838658387082,rappbode
0.8377315431328219,0.6889032094061533,3.327821153135519,0.8377315431345385,hulun
0.6944215229156894,0.5223199320521499,3.4110551062734764,0.694421515746757,klicava
0.8918846322014429,0.7832576757577021,2.2910905983597476,0.8918846321687788,kuivajarvi
0.5528475661889185,0.502050802422457,3.7417961586296236,0.5528475631071283,kinneret
0.6226700059969386,0.4903948598707625,3.64131388621004,0.6226700057862096,neuchatel
-294962.9597079785,-294963.46672520775,3635.286054151342,-294962.96857183025,vendyurskoe
0.7201695640353305,0.632140037593776,2.938245965585255,0.7201695714036032,washington
0.8076464010114086,0.7425972323963315,1.925159453586487,0.8076464002483021,feeagh
0.7056765175803714,0.6576115702500234,3.726735154076365,0.7056764869821843,fallingcreek
0.9105133655015452,0.834279930292922,1.6325895706470697,0.9105133611715476,hassel
0.8081517194874756,0.6755336757269421,2.3864373415817592,0.8081517093268487,windermere
0.7439447851773917,0.6413281233029442,2.3266883727112226,0.7439447858622408,kilpisjarvi
0.8941256403569813,0.7847444223424448,1.9931749467494813,0.8941256399114377,bryrup
0.8624170224211306,0.809346996536061,2.9785214681721865,0.8624170166935998,chao
0.8143020745379542,0.7135141146431594,3.1246581280412293,0.8143020672780944,fish
0.09879590724704135,0.020454914809516223,5.4501810997970725,0.09879596464994345,great
0.8942427399232709,0.8236528213420345,2.1484793925974888,0.8942427368382683,green
-48.262531485863086,-48.263894850065874,3.068903080616342,-48.26253099793268,kivu
0.5044166718801538,0.3378578553020598,3.6432516365946763,0.5044166531201464,thun
0.7287555141240591,0.6652408239846905,2.5304403011908256,0.7287555310618321,annie
0.7145497383086045,0.6848384472996367,2.1309381611706666,0.7145497601752657,rotorua
-0.9894402839597694,-1.0499174878289592,1.7166439360675096,-0.9894403360085815,bosumtwi
NaN,NaN,NaN,NaN,taihu
0.46299302926510144,0.2791727875274902,4.140755471891814,0.46299305890385845,lowerzurich
0.4692272229449457,0.4522074939619011,2.501920120190482,0.46922729825503906,mtbold
