NSE,KGE,RMSE,R2,lake
NaN,NaN,NaN,NaN,eagle
0.33277904830988625,0.3123282306395597,0.588606775028183,0.33277906070780294,rimov
0.022652389611976465,-0.008058395612852598,1.5834467030555337,0.022652428689608373,scharmutzelsee
0.6069633544358839,0.39851766255629284,1.6448962627439663,0.606963319326213,sparkling
NaN,NaN,NaN,NaN,stechlin
NaN,NaN,NaN,NaN,tahoe
0.3142084308947629,-0.06041228428353196,4.681778960106426,0.31420845462467917,nohipalovalgejaerv
0.493645344645549,0.44075368957970484,2.73719124600051,0.49364536376831425,mozhaysk
NaN,NaN,NaN,NaN,mueggelsee
NaN,NaN,NaN,NaN,harp
-4.420479823971483,-4.518069275060572,3.906874128750686,-4.420479748617181,mendota
0.7752139978964101,0.7298760179444678,1.3640480924551512,0.7752139986354919,paaijarvi
0.5294740132357234,0.42718347929432043,3.4221933813760446,0.5294739954414014,delavan
0.8358474929769262,0.7210213935511701,2.9536639222526775,0.8358474968776476,murten
0.28340045825471183,0.09987124706822958,4.73381540768369,0.2834004581009787,okauchee
-1515032.392373881,-1515032.8676594617,1506.2271664580676,-1515032.444193195,alqueva
0.47725238597321584,0.45879253050410873,0.3738107000401431,0.47725235836165714,arendsee
NaN,NaN,NaN,NaN,argyle
-1.8998718728984505,-1.926248535378944,1.348601013420072,-1.8998715205721073,sammamish
-16.523715837506973,-16.866374127729497,1.3225527366634624,-16.52371585013039,sau
NaN,NaN,NaN,NaN,sunapee
-0.7521565479476005,-1.0504042537392628,9.419537057262257,-0.7521565321640897,troutbog
0.8187813043650077,0.6628391413979753,2.3744922448477004,0.8187813128416528,ngoring
-14.827637855838988,-14.969269263105604,3.147394172658847,-14.827637617700855,troutlake
-0.673732884752656,-0.782893272412934,4.017394518976172,-0.673733072020763,dickie
0.8292742073354138,0.6606352242247195,2.0132311790550563,0.8292742013147213,tarawera
-0.2630516979212678,-0.2715583812316784,1.0771755091241775,-0.2630517794369145,toolik
-0.7268891958155042,-0.7810304692474523,3.0753161176134842,-0.7268893191540624,wingra
NaN,NaN,NaN,NaN,zlutice
-0.05964260868959559,-0.07867698058667405,1.0541426283551727,-0.05964260175722669,zurich
0.14526524325684675,0.07883325904471594,2.3671517205160226,0.14526523600194519,bigmuskellunge
0.18922413971628227,0.18531222533596114,0.7862419633224852,0.18922423018442347,blackoak
-0.5955777931755109,-0.6485023778191101,3.92163001181624,-0.5955778919000092,burleygriffin
0.9005740767370949,0.7927935707638525,2.827051564797947,0.9005740841239149,crystalbog
NaN,NaN,NaN,NaN,crystallake
NaN,NaN,NaN,NaN,esthwaitewater
NaN,NaN,NaN,NaN,vortsjaerv
0.2592168191427552,0.24932975265531587,1.209223002567718,0.25921691521259804,twosisters
0.8184925810466532,0.6794586748266381,2.053377003224871,0.8184925728836311,erken
0.29715441317502955,0.15707320076746034,2.4822216721382646,0.2971544197512125,ekoln
0.17721630628412177,-0.18476885040246005,5.188995733937561,0.1772163413077671,langtjern
-2.895083067337441,-2.9276607517070445,5.420487711563033,-2.8950828850067793,laramie
NaN,NaN,NaN,NaN,monona
NaN,NaN,NaN,NaN,rappbode
NaN,NaN,NaN,NaN,hulun
NaN,NaN,NaN,NaN,klicava
0.8889894917762936,0.7157489127478727,2.7553737247109917,0.8889894982430684,kuivajarvi
-143.1464361208197,-143.1530753320644,2.383204395159899,-143.1464391927869,kinneret
-0.9616648584291831,-1.0594999909998521,4.081066140164218,-0.9616649756068123,neuchatel
0.21298812834913383,0.0012374344062919818,3.9055158167198893,0.2129880625750934,vendyurskoe
0.19532701095741345,0.1465696441935509,2.774092608711609,0.19532700276619053,washington
NaN,NaN,NaN,NaN,feeagh
NaN,NaN,NaN,NaN,fallingcreek
-0.8947761107204903,-1.067170690708671,4.207083692223149,-0.8947758992057446,hassel
0.9180137869382036,0.7490015535189944,1.6943448576342288,0.9180137881593456,windermere
-4.550718198689901,-4.758791368528095,1.3787668357549803,-4.5507186266371615,kilpisjarvi
0.8992603340579887,0.7348388363841694,2.094879772095529,0.8992603374084964,bryrup
NaN,NaN,NaN,NaN,chao
0.5711792746513537,0.45120512038159977,1.6986834450236488,0.5711792816395139,fish
-0.4867186147695979,-0.5451425770935683,2.430862806600616,-0.4867185822370359,great
-3.3747144505789715,-3.814777898903473,0.794879438862813,-3.374714394159759,green
NaN,NaN,NaN,NaN,kivu
-13.148549555759503,-13.227003831211501,3.9834816252310907,-13.14854968289959,thun
-0.7781044472126384,-0.7847573328003861,2.1427680742029533,-0.7781044692680705,annie
NaN,NaN,NaN,NaN,rotorua
-26.78903564332508,-26.795436714570773,1.880865692613635,-26.78903726478571,bosumtwi
NaN,NaN,NaN,NaN,taihu
NaN,NaN,NaN,NaN,lowerzurich
NaN,NaN,NaN,NaN,mtbold
0.4337817076375484,0.10200404462152901,5.090721919513318,0.4337817328445942,nohipalomustjaerv
0.7186611950543625,0.6393880006763846,2.8711730641358844,0.7186611817490018,biel
0.8969347516473607,0.8527449042384014,2.0475923250668697,0.8969347553968433,allequash
